ID, Artist , Song ,DateAdded
,May-68, The Prisoner,
,!!! (chk chk chk ," Jamie, My Intentions are Bass",
,!!! (Chk Chk Chk) , Pardon My Freedom,
,!!! [chk chk chk] ," Jamie, My Intentions Are Bass",
,3OH!3 , ROBOT,
,Ace of Base , All That She Wants,
,Ace of Base , Dont Turn Around,
,Ace of Base , The Sign,
,Adele , Rolling in the Deep,
,Alex Gaudino , Destination Calabria Feat. Christal Waters,
,Aqua , Barbie Girl,
,Arcade Fire , Neighborhood #3 (Power Out),
,Arcade Fire , Ready To Start,
,Arcade Fire , Rebellion (Lies),
,Architecture In Helsinki , Heart It Races,
,Arctic Monkeys , Fluorescent Adolescent,
,Atmosphere , She's Enough,
,Audioporno , Choo Choo (Bloody Beatroots Mix),
,Azealia Banks ," 212 Ft, Lazy Jay",
,Backstreet Boy , Everybody,
,Basement Jaxx , My Turn (ft Lightspeed Champion),
,Basement Jaxx , Where's Your Head At,
,Bassnectar, The 808 Track feat. Mighty High Coup,
,Bassnectar , Upside Down,
,Beastie Boys , (You Gotta) Fight For Your Right (To Party),
,Beastie Boys , Brass Monkey,
,Beastie Boys , Fight For Your Right (To Party),
,Beastie Boys , Sabotage,
,Beck , Girl,
,Beck , Hell Yes,
,Bel Biv DeVoe , Poison,
,Belly,I Drink I Smoke,
,Benny Benassi , All The Way (Live) (Ft. Ying Yang Twins),
,Benny Benassi , Cinema (Skrillex Remix),
,Benny Benassi , Satisfaction,
,Benny Benassi , Who's your Daddy,
,Benny Bennasi , All The Way Live (ft. The Ying Yang Twins),
,Benny Bennassi , Who's Your Daddy,
,Beyoncé , Single Ladies (Put A Ring On It),
,Big Sean , Dance (A$$) Remix ft. Nicki Minaj,
,Big Tymers , Still Fly,
,Billy Idol , Dancing With Myself,
,Billy Idol , Rebel Yell,
,Bis , Eurodisco,
,Bloc Party , Banquet,
,Bloc Party , Flux,
,Bloc Party , Helicopters,
,Bloodhound Gang , The Bad Touch (Discovery Channel Song),
,Blur , Boys & Girls,
,Bobby Brown , My Perogative,
,Body Rox,Yeah Yeah,
,Boy Crisis , The Fountain of Youth,
,Boyz II Men , Motown Philly,
,Bring Me The Horizon , Chelsea Smile (K C Blitz),
,Bring Me The Horizon , The Sadness Will Never End (Skrillex Remix),
,Britney Spears , Toxic,
,Britney Spears , Womanizer,
,Broken Social Scene , Texico Bitches,
,Cali Swag District,Teach Me How to Dougie Dirty Version,
,Cali Swag District , Teach Me How To Dougie,
,Cee Lo Green , Fuck you,
,Chiddy Bang , Mind Your Manners (Feat. Icona Pop),
,Childish Gambino , Bonfire,
,Childish Gambino , Freaks And Geeks,
,Christina Aguilera , Dirrty,
,Christina Aguilera  , WooHoo (featuring Nicki Minaj),
,Chromeo , Dont Turn the Lights On,
,Chromeo , Fancy Footwork,
,Chromeo , Hot Mess,
,Chromeo , Needy Girl,
,Chromeo , Night By Night,
,Chumbawamba , Tubthumping,
,Clap Your Hands and Say Yeah , The Skin of My Yellow Country Teeth,
,Computer Club, Bizarre Love Triangle,
,Computers Want Me Dead , In Your Blood,
,Computers Want Me Dead , Little Steps,
,Computers Want Me Dead , We Walk In Circles,
,Creature , Pop Culture,
,Creature ," Who's Hot, Who's Not",
,Crystal Castles , Baptism,
,Crystal Castles , Celestica,
,Crystal Castles , Crimewave (Crystal Castles VS HEALTH),
,Crystal Castles , Untrust Us,
,CSS , Alala,
,CSS , Let's Make Love and Listen to Death From Above,
,Cut Copy , Lights & Music,
,Daft Punk , Around The World,
,Daft Punk , Harder Better Faster,
,Daft Punk , One More Time,
,Daft Punk , Technologic,
,Danger , 11h30,
,Darwin Deez , Radar Detector,
,Datarock , Computer Camp Love,
,Datarock , Fa Fa Fa,
,David Guetta and Chris Willis ft Fergie and LMFAO , Gettin' Over You,
